genes	ensembl_id	logFoldChange	pvalue	pvalue_adj	direction
TSPAN6	ENSG00000000003	1.14327726705498	7.38296984784075e-17	1.88251024008688e-16	UP
FGR	ENSG00000000938	-1.88214196427575	1.64041325200273e-22	1.45814511289132e-21	DOWN
GCLC	ENSG00000001084	1.35477060221497	5.56521402168896e-08	6.18715166279259e-08	UP
CFTR	ENSG00000001626	-1.13909562385583	2.51495334430068e-09	3.04458412424799e-09	DOWN
AOC1	ENSG00000002726	1.78133491262187	6.02784053027769e-10	7.65946645806298e-10	UP
DBNDD1	ENSG00000003249	1.4477342097601	1.10088398750741e-17	3.23690238287018e-17	UP
HSPB6	ENSG00000004776	-2.33201318216648	4.08012486376566e-20	1.98325056669116e-19	DOWN
PDK4	ENSG00000004799	-2.33338489778383	3.26101347880281e-24	3.96275055651987e-23	DOWN
ZMYND10	ENSG00000004838	-1.4615049556457	5.30282424719361e-09	6.28871065757365e-09	DOWN
SLC25A13	ENSG00000004864	1.02000156801205	2.18406475266524e-19	9.05702877995089e-19	UP
PRSS22	ENSG00000005001	1.05038856805361	1.40616091903288e-10	1.8787953824239e-10	UP
ITGAL	ENSG00000005844	-1.20019016071168	3.88922244821036e-12	5.76181103438572e-12	DOWN
CRLF1	ENSG00000006016	1.73611524825161	1.53903908760455e-06	1.59554808218183e-06	UP
TMEM132A	ENSG00000006118	1.48465807519819	2.40191223870765e-13	3.96873622918993e-13	UP
CX3CL1	ENSG00000006210	-1.24677729137861	5.19292491576424e-07	5.47825046058645e-07	DOWN
BAIAP2L1	ENSG00000006453	1.05301755965233	9.14099817432732e-17	2.2912162525729e-16	UP
ALDH3B1	ENSG00000006534	-1.30057164482035	1.69456957210135e-09	2.08029001178682e-09	DOWN
GGCT	ENSG00000006625	1.38309683201417	5.61212315269444e-19	2.1637101311593e-18	UP
ARHGAP44	ENSG00000006740	-1.41815024382944	1.62374125918416e-18	5.59709733865996e-18	DOWN
CACNA2D2	ENSG00000007402	-3.11681033175971	8.17038847638608e-19	2.99373012875215e-18	DOWN
NFIX	ENSG00000008441	-1.4423905375806	1.25929060008881e-15	2.71667185637137e-15	DOWN
