Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Coronary Arteriosclerosis	106/760	1.8612989750824e-21	1.21710339980638e-17	106	0.139473684210526	CSF3;GMFG;PRF1;AQP4;HPGDS;EDNRB;GJA4;LEPR;SVEP1;PTGDS;ROS1;SEMA6A;CD93;PRKCE;CYBB;RBP4;ARC;AGTR1;ADTRP;PLPP3;ATF3;ABCG1;JCAD;CES1;SLC22A3;CPB2;INSIG1;ALOX15;LPL;ADRB1;ADRB2;GATA2;AGER;HCAR2;GRK5;S100A12;KL;EGR1;ACE;CAV1;TNFSF13;PPBP;SELP;RCAN1;BMP2;IL6;NES;HLA-DRB1;PIGR;HSPB6;LMOD1;TCF21;PCSK9;LDB2;PEAR1;CX3CL1;SLC6A4;THBD;FCGR3A;ALDH2;ADAMTS1;CA2;GPER1;ANKRD1;OLR1;PHACTR1;CD36;CD34;EDN1;VWF;MIR23A;FOS;TGFBR2;F8;MMRN1;PECAM1;CASQ2;PPARG;TLR4;ST6GALNAC5;HLA-DQB1;CX3CR1;PPP1R15A;SELPLG;ADH1B;PLA2G1B;RETN;SELENBP1;IL1RL1;ALOX5;LDLR;GDF10;BCHE;IL33;CDKN2B;ANGPT1;KCNJ8;SOD3;KLF2;FABP4;SCD;APOC1;MGP;ALOX5AP;ESYT3;GPD1L
Cardiovascular Diseases	105/787	8.44954090543796e-20	2.76257739903294e-16	105	0.133418043202033	GMFG;HHIP;PROS1;HPGDS;DACH1;EDNRB;CCRL2;LEPR;ROS1;SEMA6A;CYBB;RNASE1;RBP4;SELENOP;AGTR1;AGTR2;S100A8;ABCG1;JCAD;CPB2;NPR1;MAOA;NPR3;ALOX15;NEDD4L;LPL;ADRB1;FBLN1;ADRB2;AGER;FBLN5;SOCS2;GRK5;KL;ACE;JUND;CAV1;TRPV2;PRG4;PPBP;NR0B2;FLI1;HOPX;SELP;IL6;HLA-DRB1;ACVRL1;FHL1;PCSK9;HBB;PEAR1;SLC6A4;THBD;FCGR3A;ALDH2;GPER1;OLR1;CD36;CD34;CAMP;EDN1;VWF;DUSP1;GPX3;SFTPD;FOS;HBA1;KLF15;TGFBR2;F8;MMRN1;CAT;PECAM1;TLR8;PPARG;PDE5A;GAS6;TLR4;ENG;CX3CR1;CEBPA;SELPLG;PLA2G1B;ADH1B;RETN;IL1RL1;ALOX5;SLIT2;LDLR;KCNJ5;IL33;BCHE;CDKN2B;ANGPT1;F11;SOD3;KLF2;MFAP4;KLF6;FABP4;SCD;MGP;APOC1;ALOX5AP;FOSB
Neoplasm Metastasis	316/3920	5.64125916862847e-19	1.22960645678872e-15	316	0.0806122448979592	MT1M;ICAM2;PRF1;RXFP1;AQP1;EDNRB;SOX17;TMEM88;SOX18;PDK4;PTGDS;HOXA5;MFSD2A;TNS1;SLC34A2;GABARAPL1;DAPK1;DAPK2;PRKCE;RNASE1;DKK2;CPED1;CLDN5;RBP2;SLPI;SFRP5;AGTR1;BTK;ANOS1;SPARCL1;AGTR2;PLPP3;MYL9;ATF3;CFTR;SLC22A3;EPAS1;RRAD;MAOA;IL20RA;PDGFB;GATA6;FPR1;NEDD4L;FPR2;GATA2;PCDH17;SULT1A1;RAB11FIP1;RRAS;TSPAN7;A2M;SULT1A2;MSR1;EGR1;STARD13;JUND;AFAP1L1;ACE;CADM1;FOXF1;TNFSF12;TNFSF13;ABCA8;NR0B2;FLI1;ID1;ID3;FERMT2;HLA-DRB1;ACVRL1;PIGR;BTG2;SERPINA1;CLIC3;CITED2;PCSK9;TCF21;HBB;PTH1R;CHRDL1;CX3CL1;GGTLC1;HYAL1;HYAL2;MMP28;MRC1;CTSH;TIMP3;SOSTDC1;CD36;LMCD1;CD34;CAMP;EDN1;MME;DUSP1;SFTPC;TNNC1;SFTPD;EMP1;FOS;DCSTAMP;GPRC5A;ANGPTL7;TAL1;MMP19;CLDN18;TLR8;PPARG;CD302;GAS6;CRYAB;TLR4;ANGPTL1;ENG;HBEGF;HLA-DQB1;C1QA;CSTA;SELPLG;RAMP3;AHNAK;ADH1B;NEDD9;TMPRSS2;HSD17B6;PTN;CST6;FENDRR;WIF1;ALOX5;ABI3BP;PDPN;CXCR2;GPC3;AGR3;RXRG;LDLR;IL33;CDKN2B;CAVIN1;F10;CAVIN2;SUSD2;SCTR;VEGFD;KLK10;LYVE1;KLK11;FABP4;FABP5;DLC1;FOSB;MSRB3;FOXA2;SEMA5A;CSF3;CD83;CSF3R;PROS1;CXCL17;IHH;CLU;CDH5;HPGDS;ZFP36;EFEMP1;CCND2;DACH1;PEBP4;LAMP3;SLCO2B1;LEPR;SVEP1;ROS1;SCARA3;SEMA6A;SCARA5;LMO2;CYBB;MIR27A;LIFR;NPNT;SCNN1B;COL4A3;MAL;S100A4;S100A3;CARD16;ERG;NUPR1;UTRN;S100A8;ABCG2;NDRG4;NOTCH4;ALOX15;C5AR1;DPT;LPL;FBLN1;ADRB2;NDRG2;AGER;FBLN5;RHOBTB2;SLC9A3R2;SOCS2;GRK5;MYH11;MYH10;RAI2;KL;CBX7;CAV2;CNTN6;WNT3A;CAV1;TRPV2;DHCR24;BMP6;HOPX;BMP5;SELP;RCAN1;NR4A1;BMP2;IL6;RGCC;NR4A3;OGN;SCGB3A1;ESAM;AMOTL1;FGFR4;NES;FGFR2;DOCK4;ST6GALNAC2;MIR34C;FHL1;RASGRF1;ARRB1;TSPAN12;CXCL3;CXCL2;THBD;ADGRE5;CA3;CA2;ADAMTS1;GPER1;ACP5;ADAMTS8;SGCG;EGFL7;VWF;MIR23A;GPX3;GKN2;SSTR1;DCN;TGFBR2;TGFBR3;MMRN1;PEAK1;ADGRF5;CRY2;CAT;ALDH1A1;PECAM1;PDE5A;RBMS3;ITIH5;CEBPA;SFTPA2;HPGD;PLA2G1B;LAMA3;SEMA3B;NTN4;ITLN1;RETN;PDLIM1;CLEC3B;S1PR1;STOM;SLIT3;SLIT2;CTNNAL1;WASF3;SASH1;IRX1;CYB5A;PPP1R14A;IRX2;ANGPT1;KLF4;PTPN13;TBX3;KLF2;TBX2;KLF6;DES;SCD;BCL6B;MGP;SCGB1A1;KLF9;ACKR4;TEK;ACKR1;SFTPA1;CDO1;FOLR1
Coronary Artery Disease	117/981	4.40944723992517e-18	7.20834387546767e-15	117	0.119266055045872	CSF3;NCF2;CDH5;HPGDS;GJA4;LEPR;SVEP1;ROS1;TNS1;SEMA6A;CD93;PRKCE;CYBB;RBP4;AGTR1;AGTR2;ADTRP;PLPP3;S100A8;CFTR;ABCG1;JCAD;CES1;ABCG2;SLC22A3;CPB2;CALCRL;ARHGEF26;NPR1;INSIG1;ALOX15;LPL;ADRB1;ADRB2;GATA2;AGER;C2;HCAR2;S100A12;MYH11;CD300LF;KL;EGR1;MSR1;ACE;CAV1;TNFSF13;PPBP;SELP;IL6;NES;HLA-DRB1;LMOD1;PCSK9;TCF21;FHL5;LDB2;PEAR1;CX3CL1;SLC6A4;THBD;FCGR3A;ALDH2;ADAMTS1;GPER1;OLR1;PHACTR1;CD36;CD34;EDN1;VWF;MIR23A;FOS;TGFBR2;F8;MMRN1;CAT;PECAM1;CASQ2;PPARG;TLR4;ST6GALNAC5;HBEGF;HLA-DQB1;KANK2;CX3CR1;RAMP2;SELPLG;RAMP3;PLA2G1B;ADH1B;NEDD9;RETN;SELENBP1;IL1RL1;FGD5;ALOX5;LDLR;KCNJ5;IL33;BCHE;CDKN2B;F10;ANGPT1;SUSD2;F11;SOD3;KLF2;APLN;FABP4;SCD;MGP;APOC1;ALOX5AP;ESYT3;TEK;GPD1L
Atherosclerosis	128/1134	9.46713927600507e-18	1.23811247451594e-14	128	0.112874779541446	NCF2;PROS1;PRF1;CLU;AQP1;HPGDS;ZFP36;EDNRB;SOX18;GJA5;GJA4;LEPR;PDK4;SLC39A8;PTGDS;ROS1;SEMA6A;CYBB;MIR27A;OSCAR;CYP27A1;RBP4;AGTR1;AGTR2;PLPP3;S100A8;ABCG1;CES1;ABCG2;CPB2;ARHGEF26;MAOA;ALOX15;PDGFB;ECSCR;PLA2G3;LPL;FPR2;ADRB2;AGER;HACD4;HCAR2;S100A12;KL;EGR1;ACE;TNFSF12;CAV1;TNFSF13;PPBP;LYZ;ALOX15B;SELP;RCAN1;NR4A1;BMP2;IL6;NR4A3;ID3;NES;RASGRF1;PCSK9;TCF21;LDB2;TREM1;CX3CL1;SLC6A4;THBD;FCGR3A;ALDH2;ADAMTS1;GPER1;OLR1;TIMP3;SOSTDC1;CD36;CD34;CAMP;EDN1;VWF;DUSP1;SFTPD;FOS;KLF15;DCN;TGFBR3;MMRN1;CAT;PECAM1;PPARG;PDE5A;GAS6;TLR4;ENG;HBEGF;CX3CR1;PTGER4;COLEC12;SELPLG;PCOLCE2;PLA2G1B;RETN;PTN;IL1RL1;ALOX5;CXCR2;S1PR1;SLIT2;LDLR;SASH1;AOC3;IL33;CDKN2B;CCL23;CAVIN1;ANGPT1;TIE1;APOBR;VEGFD;KLF4;KLF2;FABP4;FABP5;SCD;MGP;APOC1;ALOX5AP;MNDA
Asthma	140/1313	3.17370599564305e-17	3.45881058425165e-14	140	0.106626047220107	CSF3;CHRM1;HHIP;PRF1;GIMAP4;AQP4;HPGDS;ZFP36;EDNRB;LEPR;HLA-DOA;PTGDS;ROS1;TNS1;CPA3;SLC11A1;CYBB;LIFR;CYP27A1;SLPI;COL4A3;AGTR1;SERPING1;AGTR2;ATF3;S100A8;CFTR;NOTCH4;ALOX15;C5AR1;PDGFB;NEDD4L;FBLN1;FPR2;ADRB2;GATA2;AGER;RASGRP4;GRK5;S100A12;PIP5K1B;MYH11;A2M;EGR1;HLA-DRB5;JUND;ACE;ZBTB16;CAV1;TNFSF13;CRIM1;PPBP;NR0B2;HSPA12B;ALOX15B;SELP;IL6;ARHGAP31;NR4A3;SCGB3A2;HLA-DRA;ALPL;IL7R;HLA-DRB1;SERPINA1;HSPB6;RASGRF1;COX4I2;LRRC32;ITGAL;CX3CL1;SLC6A4;GGTLC1;THBD;FCGR3A;ALDH2;ADAMTS1;FCER1A;TIMP3;TPSAB1;CD34;GRASP;CAMP;HLA-DPA1;SFTPB;EDN1;FCER1G;DUSP1;GPX3;SFTPC;SFTPD;FOS;DCN;TGFBR2;TGFBR3;MMRN1;CAT;CDHR3;PECAM1;MMP19;TLR8;PPARG;MS4A2;GAS6;TLR4;DNASE1L3;HLA-DQB1;RBMS3;CX3CR1;PTGER4;CEBPA;CSTA;AHNAK;PLA2G1B;ITLN1;RETN;IL1RL1;ALOX5;CXCR2;S1PR1;LDLR;CTNNAL1;IL33;CCL24;F10;ANGPT1;WNT7A;APOBR;SORBS1;SOD3;KLK11;FABP4;SCD;SCGB1A1;ALOX5AP;HLA-DPB1;FOSB;SIGLEC1;ACKR1;SFTPA1
Arteriosclerosis	122/1087	9.47830226285124e-17	7.84356151262167e-14	122	0.112235510579577	NCF2;PROS1;PRF1;CLU;AQP1;HPGDS;ZFP36;SOX18;GJA5;GJA4;LEPR;PDK4;SLC39A8;PTGDS;ROS1;SEMA6A;CYBB;MIR27A;OSCAR;CYP27A1;RBP4;AGTR1;AGTR2;PLPP3;S100A8;ABCG1;CES1;ABCG2;ARHGEF26;MAOA;NOTCH4;ALOX15;PDGFB;ECSCR;LPL;FPR2;ADRB2;AGER;HACD4;HCAR2;S100A12;KL;EGR1;ACE;TNFSF12;CAV1;TNFSF13;PPBP;LYZ;ALOX15B;SELP;RCAN1;NR4A1;BMP2;IL6;NR4A3;ID3;NES;SERPINA1;RASGRF1;PCSK9;TCF21;LDB2;TREM1;CX3CL1;THBD;FCGR3A;ALDH2;ADAMTS1;GPER1;OLR1;TIMP3;CD36;CD34;CAMP;EDN1;VWF;DUSP1;SFTPD;FOS;KLF15;DCN;MMRN1;CAT;PECAM1;PPARG;PDE5A;GAS6;TLR4;ENG;HBEGF;CX3CR1;COLEC12;SELPLG;PCOLCE2;PLA2G1B;RETN;PTN;IL1RL1;ALOX5;CXCR2;S1PR1;SLIT2;LDLR;SASH1;AOC3;IL33;CDKN2B;CCL23;ANGPT1;TIE1;APOBR;VEGFD;KLF4;KLF2;FABP4;FABP5;GSTA4;SCD;MGP;ALOX5AP;TEK
Vascular Diseases	65/401	9.59603794173014e-17	7.84356151262167e-14	65	0.162094763092269	ACVRL1;CSF3;PCSK9;CLU;CX3CL1;SLC6A4;THBD;ALDH2;OLR1;TIMP3;PHACTR1;ROS1;EDN1;VWF;CYBB;FOS;KLF15;HLA-E;TGFBR2;RBP4;SLPI;MMRN1;CAT;AGTR1;PECAM1;PPARG;S100A4;MYL9;TLR4;S100A8;ABCG1;ENG;ABCG2;CX3CR1;CPB2;MAOB;MAOA;PLA2G1B;LPL;NDNF;RETN;CFP;AGER;FBLN5;SOCS2;S1PR1;LDLR;AOC3;EGR1;IL33;ACE;JUND;ANGPT1;CAV1;KLF4;FLI1;KLF2;SELP;NR4A1;IL6;FABP4;NR4A3;MGP;FOSB;HLA-DRB1
Pulmonary Hypertension	38/151	1.21367375366781e-16	8.81801408359311e-14	38	0.251655629139073	ACVRL1;CX3CR1;RAMP2;SERPINA1;EPAS1;GATA6;PDGFB;HIF3A;CLU;AGER;FBLN5;CX3CL1;SLC6A4;EDNRB;HYAL1;HYAL2;ALOX5;EGR1;EDN1;ACE;VWF;ANGPT1;CAVIN1;ABCA3;CAV1;CYBB;SMAD9;SMAD6;TGFBR2;SELP;BMP2;IL6;ID1;ALOX5AP;PECAM1;PPARG;PDE5A;ARHGEF6
Hypertensive disease	138/1310	1.52304911185856e-16	9.95921814244313e-14	138	0.105343511450382	NCF2;AQP4;CLU;AQP1;HPGDS;EDNRB;GJA5;GJA4;LEPR;SLC39A8;MACROD2;ROS1;SEMA6A;PRKCE;HPCAL1;CYBB;FRMD3;SCNN1G;SLPI;SCNN1B;COL4A4;COL4A3;AGTR1;S100A4;AGTR2;ATF3;SLC22A3;CPB2;CALCRL;EPAS1;NPR1;GYPE;NPR3;ALOX15;PDGFB;FPR1;NEDD4L;LPL;ADRB1;ADRB2;AGER;SLC9A3R2;GRK5;S100A12;MYH11;CD300LG;KL;MSR1;EGR1;JUND;ACE;FOXF1;CAV1;SMAD9;PPBP;LYZ;SMAD6;ALOX15B;HOPX;SELP;BMP2;IL6;NR4A3;OGN;ID1;FGFR4;HLA-DRB1;FGFR2;GSTM5;ACVRL1;ROBO4;SERPINA1;FHL1;PCSK9;ARHGAP6;CXCL2;CX3CL1;SLC6A4;GGTLC1;THBD;ALDH2;GPER1;OLR1;PHACTR1;CD36;EDN1;MME;VWF;DUSP1;MIR23A;SFTPC;FOS;DCN;TGFBR2;TGFBR3;CRY2;CAT;ITGA8;CASQ2;TLR8;PPARG;PDE5A;TLR4;ENG;CX3CR1;RAMP2;PLEKHH2;SELPLG;TNXB;PLA2G1B;ADH1B;RETN;SELENBP1;DUOX1;DRAM1;ALOX5;CXCR2;LDLR;WASF3;AOC3;KCNJ5;CDKN2B;KCNJ8;ANGPT1;F11;SORBS1;KLF4;SOD3;TBX3;APLN;KLF6;SCGB1A1;SLCO4C1;APOC1;FOSB;TEK;CDO1;KCNK3
