Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
regulation of ERK1 and ERK2 cascade (GO:0070372)	40/238	2.65840986266878e-11	9.4267213730235e-08	40	0.168067226890756	NDRG4;RAMP3;ALOX15;C5AR1;PDGFB;FBLN1;ARRB1;FPR2;PRKCZ;AGER;CX3CL1;RRAS;BMPER;GLIPR2;CAMK2N1;GPER1;FFAR4;TIMP3;ALKAL2;CCN2;CD36;CCN1;ROS1;CCL24;CCL23;SEMA6A;ANGPT1;NPNT;SCIMP;MTURN;TGFBR3;MARCO;BMP2;TEK;GAS6;FGFR4;TLR4;FERMT2;HLA-DRB1;FGFR2
regulation of angiogenesis (GO:0045765)	36/203	5.4668258037367e-11	9.69268215002518e-08	36	0.177339901477833	SEMA5A;RAMP2;HSPB6;NPR1;GATA6;ECSCR;PTPRM;GATA2;TSPAN12;AQP1;CDH5;RRAS;BMPER;HYAL1;ADAMTS1;ALOX5;CTSH;CD34;HOXA5;SASH1;ANGPT4;SEMA6A;ANXA3;TNFSF12;TIE1;EMP2;VEGFD;KLF4;DCN;CLDN5;IL6;RGCC;RHOJ;COL4A3;PPARG;TEK
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	31/172	7.80374989384519e-10	9.22403237452502e-07	31	0.180232558139535	NDRG4;RAMP3;ALOX15;C5AR1;PDGFB;ARRB1;FPR2;AGER;PRKCZ;CX3CL1;BMPER;GLIPR2;GPER1;FFAR4;ALKAL2;CCN2;CD36;CCL24;CCL23;ANGPT1;NPNT;SCIMP;MTURN;MARCO;BMP2;TEK;FGFR4;GAS6;FERMT2;FGFR2;HLA-DRB1
regulation of immune effector process (GO:0002697)	16/53	4.78172361720787e-09	4.10631340566017e-06	16	0.30188679245283	C1QB;C1QA;CPB2;PROS1;C5AR1;C4BPA;C8B;CFP;CLU;C2;C6;C7;SERPING1;HLA-DRA;HLA-DRB1;C1QC
positive regulation of MAPK cascade (GO:0043410)	39/274	6.71133541004879e-09	4.10631340566017e-06	39	0.142335766423358	NDRG4;RAMP3;LRRK2;ALOX15;C5AR1;PDGFB;ARRB1;FPR2;ADRB2;PRKCZ;AGER;CX3CL1;LILRA5;BMPER;GLIPR2;GPER1;FFAR4;S100A12;ALKAL2;CCN2;CD36;CCL24;EDN1;CCL23;ANGPT1;CAV2;NPNT;SCIMP;MTURN;MARCO;BMP2;IL6;TEK;GAS6;FGFR4;FERMT2;HLA-DRB1;JCAD;FGFR2
inflammatory response (GO:0006954)	35/230	6.9480768285282e-09	4.10631340566017e-06	35	0.152173913043478	PTGER4;ALOX15;C5AR1;FPR1;FPR2;NLRC4;CXCL3;ITGAL;CXCL2;CX3CL1;SCUBE1;ADGRE5;HYAL1;CXCR2;CCRL2;OLR1;APOL3;AOC3;CCL24;CCL23;ODAM;SLC11A1;CYBB;PPBP;FOS;LYZ;BMP2;IL6;AGTR1;AGTR2;SIGLEC1;ACKR1;CDO1;TLR4;S100A8
negative regulation of cellular process (GO:0048523)	62/566	1.25651516975942e-08	6.36514684566699e-06	62	0.109540636042403	SEMA5A;ACVRL1;BTG2;FHL1;ADARB1;CLU;SPN;SOX17;ADAMTS1;HYAL1;HYAL2;GPER1;CCN5;CCN2;ADAMTS8;CCN1;SOX7;CD34;TNS2;DUSP1;P3H2;WNT9A;SSTR1;TGFBR3;DCSTAMP;SFRP5;COL4A3;AGTR2;NUPR1;CRYAB;FBP1;KANK2;CEBPA;HPGD;NPR1;NOTCH4;FBLN1;CAMK2N1;ALOX5;PDPN;AGR3;SLIT3;APBB1;SLIT2;JAM2;CCL23;CDKN2B;ANGPT1;WFS1;SUSD2;KLF4;SMAD6;ALOX15B;HOPX;BMP5;NR4A1;BMP2;IL6;RGCC;DLC1;SCGB3A1;FERMT2
neutrophil mediated immunity (GO:0002446)	55/488	3.21902599393627e-08	1.42683327181225e-05	55	0.112704918032787	FCN1;PIGR;SERPINA1;ATP8A1;GMFG;HBB;ITGAL;SIRPB1;HK3;ADGRE5;ADGRE3;OLR1;CTSH;CD36;CAMP;FCER1G;MME;CD93;ANXA3;SLC11A1;CYBB;MCEMP1;UNC13D;OSCAR;FGR;TYROBP;SLPI;CAT;PECAM1;VAMP2;S100A8;CFD;CLEC12A;PLA2G1B;C5AR1;FPR1;FPR2;RETN;CFP;PLAC8;ALOX5;ALDH3B1;CXCR2;S100A12;STOM;METTL7A;ACE;PPBP;LYZ;PTPRB;IL6;FABP5;SLCO4C1;MNDA;FOLR3
regulation of humoral immune response (GO:0002920)	15/54	5.05695281125169e-08	1.99243940763317e-05	15	0.277777777777778	C1QB;C1QA;CPB2;PROS1;C5AR1;GATA6;C4BPA;C8B;CFP;CLU;C2;C6;C7;SERPING1;C1QC
regulation of complement activation (GO:0030449)	14/50	1.26415880536136e-07	4.48270712381138e-05	14	0.28	C1QB;C1QA;CPB2;PROS1;C5AR1;C4BPA;C8B;CFP;CLU;C2;C6;C7;SERPING1;C1QC
