Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Neoplasm Metastasis	297/3920	1.16436544772446e-22	6.65434853374528e-19	297	0.075765306122449	SERPINE2;ENO1;MKI67;CDC20;CHEK1;PCLAF;EPHB2;GTSE1;PRSS2;SOX4;HES6;WDHD1;KRT8;RUNX2;SFRP4;CLDN4;CLDN3;SFRP2;MTHFD2;IL23A;HPRT1;PRR11;HOXB7;STX1A;PFN2;PTGES;CDCA2;PRKDC;MAGED1;TGFA;LYPD3;THY1;SKA3;IQGAP3;HIF1A;SKA1;UGT8;CD79A;CYP27B1;LDHA;PRDX4;RACGAP1;S100A16;SFN;ST14;PLK1;CDC6;SRPK1;COL1A1;NET1;FERMT1;TPX2;GJB2;COL1A2;SLC6A8;AKR1B10;NMU;FAT1;CALU;PAEP;SFXN1;CD24;EZH2;APOBEC3B;TOP2A;GPI;FEN1;DIRAS1;KIF14;SLC7A11;PRSS22;WFDC2;UCHL1;CTSK;PBK;RAC3;TIMP1;DLGAP5;CEP55;TPI1;PARP1;TESC;SERPINB5;NME1;MMP12;MMP11;SLC7A5;TOX3;CLDN10;MMP14;CEACAM1;MMP13;CDCP1;KIFC1;TNNT1;B3GNT6;CEACAM5;KIF2C;TFF1;ANGPTL4;AFAP1-AS1;ALDOA;PCNA;COL11A1;PVT1;TMPRSS4;TYMS;RECQL4;CST2;ADAM28;PAK1;NT5E;CST1;SRPX2;EPCAM;AGR2;SPP1;CYTOR;GCNT3;PRAME;CCL19;XDH;SPDEF;GINS2;NQO1;CENPW;BIK;GOLM1;IL37;CCL20;CDKN2A;ATAD2;AKR1C2;SULF1;AGT;VMP1;CENPF;COL3A1;CENPH;FAP;KRT17;KIF26B;SAA1;ZNF217;F2RL1;HDGF;TRIP13;LGR4;CDKN3;MAD2L1;FOXA1;GALNT14;GMNN;TNC;BUB1B;PLOD2;CXCL13;CXCL14;LOXL1;LOXL2;LAPTM4B;CDH3;DEPTOR;PTTG1;PLAU;CDH1;TUBB3;NUSAP1;FAM3C;KPNA2;PHLDA2;SLC16A3;LARGE2;KRT6A;POSTN;SPINK1;S100A2;IGFBP3;PDIA6;CCNE1;EEF1A2;ADAM12;FSCN1;LY6D;ADAM8;PKP3;STEAP1;XPR1;LRRC59;CEMIP;AK4;HMMR;FUT2;FUT3;CCNB2;FUT8;CCNB1;ADGRG1;IRAK1;UBD;EIF4EBP1;CLSPN;NPTX2;ECT2;FAM83D;TFAP2A;HSPA5;UBE2C;SLC52A2;CBX2;TFPI2;IDH2;HMGA1;SYNJ2;FBXO32;BCL9;GCLC;DAP;EFNA3;COL5A1;UBE2S;UBE2T;LCN2;CDK1;PLXNB3;VPS9D1-AS1;MUC20;KDM5B;ST6GALNAC1;ITGB4;FHL2;SLC2A1;SIX1;FOXM1;MDK;EXO1;MB;MYBL2;CA9;DSP;ABCC3;GPX2;MMP7;MMP1;ITGA2;H2AFX;PLA2G4A;LSR;MMP9;ETV4;CKAP4;CCNA2;GREM1;VCAN;PKM;AIM2;TRAF4;ESPL1;BIRC5;COL6A3;GAPDH;TNFRSF21;MCM2;LTF;COL15A1;UHRF1;TTK;THBS2;AURKB;AURKA;HSPD1;GMDS;SPOCK1;E2F3;MUC4;BUB1;CTHRC1;MARCKSL1;RRM2;SPAG5;TPBG;SEMA4B;STYK1;PRRX2;SPAG4;LIMK1;MUC5B;HSPE1;SHCBP1;PC;CYP24A1;RAD51;PSAT1;IL2RA;P4HB;MNX1-AS1;NECTIN1
Adenocarcinoma	166/1712	4.14115216542914e-22	1.18333423127138e-18	166	0.0969626168224299	FOXA1;JPT1;TNC;BUB1B;ENO1;MKI67;CXCL14;LOXL2;LAPTM4B;BPIFA1;CDH3;PTTG1;PLAU;CREB3L4;CDH1;TUBB3;CHEK1;PCLAF;EPHB2;PITX1;SLC16A3;SOX4;SPINK1;S100A2;IGFBP3;KRT8;IGHV1-12;PDGFRL;RUNX2;SFRP4;CLDN4;CLDN3;SFRP2;CT83;CCNE1;EEF1A2;ADAM12;FSCN1;ADAM8;HOXB7;XPR1;PTGES;COL17A1;CEMIP;CRABP2;TGFA;RASAL1;HIF1A;CCNB2;CYP27B1;LDHA;PRDX4;SFN;ECT2;FAM83A;TFAP2A;ST14;STIL;HSPA5;UBE2C;TFPI2;PLK1;IDH2;HMGA1;GGCT;NET1;GCLC;DAP;AKR1B10;LCN2;CDK1;PAEP;CD24;SPRR1B;EZH2;APOBEC3B;TOP2A;ITGB4;KIF14;SLC2A1;SIX1;FOXM1;UCHL1;EXO1;MB;CTSK;NUF2;CA9;TIMP1;DSP;GPX2;MMP7;TPI1;MMP1;ITGA2;MYEOV;PLA2G4A;MMP9;ETV4;SERPINB5;CKAP4;NME1;MMP12;CCNA2;GREM1;SLC7A5;MMP14;CEACAM1;MMP13;PKM;CDCP1;TRAF4;KIFC1;CEACAM5;BIRC5;MCM4;TFF1;GAPDH;MCM2;KRT81;PCNA;COL11A1;TMPRSS4;TYMS;THBS2;CENPA;BARX2;AURKB;AURKA;HSPD1;ADAM28;PAK1;SRPX2;IGKC;ALDH1B1;EPCAM;AGR2;SPP1;SPOCK1;PRAME;E2F3;MEST;MUC4;BUB1;SPDEF;NQO1;RRM2;CDKN2A;SMOX;AKR1C2;MUC5B;AGT;CYP24A1;RAD51;ZDHHC9;FAP;KRT17;PSAT1;QPCT;F2RL1;S100P;OCIAD2;NECTIN4;CDKN3;MAD2L1;NECTIN1
Tumor Progression	187/2090	5.25737364125541e-21	1.00152967865916e-17	187	0.0894736842105263	FOXA1;GMNN;TNC;BUB1B;ENO1;CXCL14;LOXL2;CDC20;PTTG1;PLAU;CDH1;TUBB3;CHEK1;PCLAF;NEK2;KPNA2;EPHB2;SLC16A3;PRSS2;SOX4;SPINK1;S100A2;IGFBP3;KRT8;IGHV1-12;RUNX2;CLDN4;CLDN3;SFRP2;CCNE1;IL23A;EEF1A2;ADAM12;FSCN1;TIMELESS;PKP3;PRR11;HOXB7;STX1A;PTGES;CEMIP;CDCA2;PRKDC;STK39;TGFA;HMMR;EFNA5;IQGAP3;HIF1A;CYP27B1;FUT8;ADGRG1;LDHA;RACGAP1;S100A16;UBD;EIF4EBP1;SERPINH1;PMAIP1;ECT2;TFAP2A;ST14;HSPA5;UBE2C;SLC52A2;TFPI2;PLK1;IDH2;HMGA1;CDC6;CP;FERMT1;BCL9;GCLC;DAP;AKR1B10;NMU;LCN2;CD24;EZH2;GPI;KDM5B;FEN1;ITGB4;FHL2;KIF14;SLC2A1;SIX1;FOXM1;CHAF1B;UCHL1;MDK;MB;CTSK;PBK;RAC3;MYBL2;CA9;TIMP1;CEP55;GPX2;MMP7;TPI1;PARP1;MMP1;ITGA2;TESC;H2AFX;PLA2G4A;MMP9;ETV4;SERPINB5;CKAP4;NME1;MMP12;GREM1;MMP11;SLC7A5;ASPM;MMP14;VCAN;CEACAM1;PKM;CDCP1;AIM2;TRAF4;KIFC1;CEACAM5;BIRC5;ANGPTL4;AFAP1-AS1;GAPDH;MCM2;RGS17;PCNA;UHRF1;COL11A1;PVT1;TMPRSS4;TYMS;THBS2;AURKB;AURKA;HSPD1;PAK1;NT5E;GMDS;EPCAM;AGR2;SPP1;CYTOR;SPOCK1;PRAME;E2F3;MUC4;BUB1;SPDEF;CTHRC1;GINS2;NQO1;CENPW;RRM2;SPAG5;IL37;CCL20;CDKN2A;ATAD2;LIMK1;MUC5B;SHCBP1;AGT;VMP1;CENPF;PC;CYP24A1;RAD51;FAP;PSAT1;IL2RA;ADM2;SAA1;ZNF217;F2RL1;HDGF;P4HB;CDKN3;MAD2L1
Adenocarcinoma of lung (disorder)	127/1187	2.19654382786147e-20	2.84403893452228e-17	127	0.106992417860152	FOXA1;GALNT14;ENO1;BZW2;MKI67;CXCL14;CDC20;LAPTM4B;CDH1;CHEK1;NEK2;KPNA2;EPHB2;S100A2;KRT8;RUNX2;CLDN3;EEF1A2;PKP3;HPRT1;MXRA5;HOXB7;CFB;HIST1H2BC;CDCA2;CRABP2;PRKDC;STK39;TGFA;AK4;MRPL12;HIF1A;FUT3;CCNB2;LDHA;IRAK1;EIF4EBP1;SFN;ECT2;FAM83A;TFAP2A;CBX3;PLK1;SRPK1;FERMT1;GCLC;GJB2;AKR1B10;COL5A1;ITGA11;LCN2;CALU;SFXN1;ALDH18A1;EZH2;APOBEC3B;FKBP11;TOP2A;GPI;FEN1;NCAPG2;KIF14;SLC2A1;SIX1;FOXM1;LMNB1;TUBA1C;MDK;PBK;RAC3;GNPNAT1;TIMP1;TK1;DUSP4;MMP7;TPI1;RFC4;PARP1;MMP1;TESC;MMP9;NME1;SLC7A5;ASPM;MMP14;MMP13;PKM;AIM2;CEACAM5;BIRC5;ALDOA;GAPDH;PCNA;UHRF1;TTK;TYMS;CENPA;EPCAM;PERP;SPP1;PRAME;E2F3;CCL19;XDH;MEST;MUC4;CCT5;GINS2;NQO1;MARCKSL1;RRM2;BIK;GOLM1;CDKN2A;MX2;SEMA4B;ATAD2;NPM3;SULF1;CYP24A1;PSAT1;TACC3;F2RL1;HDGF;NECTIN4;MNX1-AS1;CDKN3
Primary malignant neoplasm of lung	196/2268	2.48822303982701e-20	2.84403893452228e-17	196	0.0864197530864197	ENO1;CDC20;BPIFA1;CHEK1;PCLAF;PTGFRN;EPHB2;TNS4;SOX4;WDHD1;KRT8;DDIT4;HPRT1;PRR11;PFN2;TSTA3;CRABP2;SHMT2;MAGED1;CDCA5;CSTF2;CDCA8;TGFA;THY1;IQGAP3;HIF1A;UGT8;CD79A;CYP27B1;NLN;LDHA;PRDX4;RACGAP1;SFN;ST14;PLK1;CDC6;FERMT1;ANLN;TPX2;GJB2;CABYR;AKR1B10;NMU;FAT1;CALU;PAEP;CD24;EZH2;TOP2A;FKBP10;FEN1;KIF14;CTSK;NUF2;PBK;TIMP1;DUSP4;PARP1;KIF23;SERPINB5;NME1;MMP12;MMP14;MMP13;CDCP1;CEACAM5;MZB1;KIF2C;AFAP1-AS1;ALDOA;DTYMK;PCNA;PVT1;TMPRSS4;TYMS;RECQL4;ADAM28;PAK1;EPCAM;PERP;AGR2;SPP1;CYTOR;CCL19;XDH;SPDEF;GINS1;NQO1;EGLN3;CENPW;IL37;CCL20;CDKN2A;SULF1;AGT;F2RL1;HDGF;MAD2L1;FOXA1;TNC;BUB1B;CXCL14;LOXL2;LAPTM4B;PTTG1;PLAU;CDH1;NEK2;FAM3C;KPNA2;PITX1;POSTN;S100A2;IGFBP3;CDC25C;LGSN;EEF1A2;TIMELESS;SCG5;ADAM8;PKP3;XPR1;LRRC59;AK4;SEZ6L2;FUT3;CCNB2;FUT8;CCNB1;EIF4EBP1;PMAIP1;CLSPN;FAM83A;TFAP2A;HSPA5;UBE2C;SLC52A2;TFPI2;IDH2;HMGA1;FBXO32;NDC80;GGCT;GCLC;DAP;EFNA3;UBE2S;KIF4A;CPD;LCN2;CDK1;TMEM45B;KDM5B;SLC2A1;FOXM1;CKS1B;MDK;EXO1;MB;DSP;ABCC3;GPX2;MMP7;MMP1;ITGA2;H2AFX;PLA2G4A;MMP9;ETV4;CKAP4;PKM;TRAF4;ESPL1;HKDC1;BIRC5;GAPDH;LTF;RGS17;AURKB;AURKA;CDC45;E2F3;MUC4;BUB1;E2F8;MARCKSL1;SPAG5;SEMA4B;STYK1;LIMK1;CYP24A1;RAD51;IL2RA;NECTIN4;NECTIN1
Carcinoma of lung	207/2476	7.72997814614086e-20	7.36280418419917e-17	207	0.0836025848142165	ENO1;CDC20;BPIFA1;CHEK1;PCLAF;PTGFRN;EPHB2;TNS4;SOX4;WDHD1;KRT8;DDIT4;HPRT1;MXRA5;PRR11;CFB;PFN2;TSTA3;CRABP2;SHMT2;PRKDC;MAGED1;CDCA5;CSTF2;CDCA8;TGFA;THY1;ADAMTS12;IQGAP3;HIF1A;UGT8;CD79A;CYP27B1;NLN;LDHA;PRDX4;RACGAP1;SFN;ST14;PLK1;CDC6;FERMT1;ANLN;TPX2;GJB2;CABYR;AKR1B10;NMU;FAT1;CALU;PAEP;CD27;CD24;EZH2;TOP2A;FKBP10;FEN1;KIF14;TUBA1C;UCHL1;CTSK;NUF2;PBK;TIMP1;DUSP4;PARP1;KIF23;SERPINB5;NME1;MMP12;MMP14;MMP13;CDCP1;CEACAM5;PXDN;MZB1;KIF2C;AFAP1-AS1;ALDOA;DTYMK;PCNA;PVT1;TMPRSS4;TYMS;RECQL4;ADAM28;PAK1;EPCAM;PERP;AGR2;SPP1;CYTOR;CCL19;XDH;SPDEF;GINS1;NQO1;EGLN3;CENPW;IL37;CCL20;CDKN2A;SULF1;AGT;F2RL1;HDGF;CDKN3;MAD2L1;FOXA1;TNC;BUB1B;CXCL14;LOXL2;LAPTM4B;PTTG1;PLAU;CDH1;NEK2;FAM3C;KPNA2;PITX1;POSTN;S100A2;IGFBP3;CDC25C;LGSN;EEF1A2;TIMELESS;SCG5;ADAM8;PKP3;XPR1;LRRC59;AK4;SEZ6L2;FUT3;CCNB2;FUT8;CCNB1;EIF4EBP1;PMAIP1;CLSPN;FAM83A;TFAP2A;HSPA5;UBE2C;SLC52A2;TFPI2;IDH2;HMGA1;SYNJ2;FBXO32;NDC80;GGCT;GCLC;DAP;EFNA3;UBE2S;KIF4A;CPD;LCN2;CDK1;TMEM45B;KDM5B;SLC2A1;FOXM1;CKS1B;MDK;EXO1;MB;DSP;ABCC3;GPX2;MMP7;MMP1;ITGA2;H2AFX;PLA2G4A;MMP9;ETV4;CKAP4;PKM;TRAF4;ESPL1;HKDC1;BIRC5;GAPDH;LTF;RGS17;UHRF1;AURKB;AURKA;CDC45;E2F3;MUC4;BUB1;E2F8;MARCKSL1;SPAG5;SEMA4B;STYK1;LIMK1;CYP24A1;RAD51;IL2RA;NECTIN4;NECTIN1
Malignant neoplasm of lung	204/2449	2.39509009107099e-19	1.95541998149582e-16	204	0.083299305839118	ENO1;CDC20;BPIFA1;CHEK1;PCLAF;PTGFRN;EPHB2;TNS4;SOX4;KRT8;DDIT4;HPRT1;PRR11;PFN2;TSTA3;CRABP2;SHMT2;MAGED1;CDCA5;CSTF2;CDCA8;TGFA;THY1;IQGAP3;HIF1A;CD79A;CYP27B1;NLN;LDHA;PRDX4;RACGAP1;CHST15;SFN;ST14;PLK1;CDC6;FERMT1;ANLN;TPX2;GJB2;CABYR;AKR1B10;NMU;FAT1;CALU;PAEP;CD24;EZH2;TOP2A;FKBP10;FEN1;HILPDA;KIF14;UCHL1;CTSK;NUF2;PBK;TIMP1;DUSP4;PARP1;KIF23;SERPINB5;NME1;MMP12;MMP11;SLC7A5;MMP14;CEACAM1;MMP13;CDCP1;CEACAM5;MZB1;KIF2C;AFAP1-AS1;ALDOA;DTYMK;PCNA;PVT1;TMPRSS4;TYMS;RECQL4;ADAM28;PAK1;EPCAM;PERP;AGR2;SPP1;CYTOR;CCL19;XDH;SPDEF;GINS1;NQO1;EGLN3;CENPW;IL37;CCL20;CDKN2A;ATAD2;SULF1;AGT;F2RL1;HDGF;MAD2L1;FOXA1;TNC;BUB1B;CXCL14;LOXL2;LAPTM4B;PTTG1;PLAU;CDH1;NEK2;FAM3C;KPNA2;PITX1;POSTN;S100A2;IGFBP3;CDC25C;LGSN;EEF1A2;TIMELESS;SCG5;ADAM8;PKP3;XPR1;LRRC59;AK4;SEZ6L2;FUT3;CCNB2;FUT8;CCNB1;EIF4EBP1;PMAIP1;CLSPN;FAM83A;TFAP2A;HSPA5;UBE2C;SLC52A2;TFPI2;IDH2;HMGA1;FBXO32;NDC80;GGCT;GCLC;DAP;EFNA3;UBE2S;KIF4A;CPD;LCN2;CDK1;TMEM45B;KDM5B;SLC2A1;FOXM1;CKS1B;MDK;EXO1;MB;DSP;ABCC3;GPX2;MMP7;MMP1;ITGA2;H2AFX;PLA2G4A;MMP9;ETV4;CKAP4;CCNA2;PKM;TRAF4;ESPL1;HKDC1;BIRC5;GAPDH;LTF;RGS17;UHRF1;AURKB;AURKA;CDC45;E2F3;MUC4;BUB1;E2F8;MARCKSL1;RRM2;SPAG5;SEMA4B;STYK1;LIMK1;CYP24A1;RAD51;IL2RA;NECTIN4;NECTIN1
Mammary Neoplasms	200/2387	3.15087195924184e-19	2.25090415588339e-16	200	0.0837871805613741	CDA;SERPINE2;ENO1;MKI67;CHEK1;PCLAF;EPHB2;SOX4;HES6;KRT8;RUNX2;SFRP4;CLDN4;SFRP2;MTHFD2;HOXB7;PTGES;CRABP2;PRKDC;TGFA;HIF1A;CD79A;CYP27B1;LDHA;PRDX4;RACGAP1;SFN;CDT1;ST14;PLK1;CDC6;COL1A1;NET1;FERMT1;GJB2;COL1A2;AKR1B10;NMU;PAEP;HIST1H4H;CD24;EZH2;APOBEC3B;TOP2A;GPI;FEN1;NCAPG2;KIF14;CHAF1B;UCHL1;CTSK;ENC1;RAC3;TIMP1;TPI1;EDN2;PARP1;SERPINB5;NME1;MMP11;SLC7A5;TOX3;MMP14;TUBB2B;CEACAM1;MMP13;CDCP1;CEACAM5;TFF1;ANGPTL4;ALDOA;PCNA;TYMS;RECQL4;ADAM28;PAK1;NT5E;EPCAM;AGR2;SPP1;RAD54L;PRAME;XDH;CCT5;SPDEF;GINS2;NQO1;BIK;CCL20;CDKN2A;ATAD2;AKR1C2;SULF1;AGT;CENPF;FAP;KRT17;ZNF217;F2RL1;MAD2L1;FOXA1;GMNN;TNC;CXCL13;LOXL1;LOXL2;CDH3;PTTG1;PLAU;CDH1;TUBB3;KPNA2;POSTN;S100A2;IGFBP3;MELK;CCNE1;EEF1A2;ADAM12;FSCN1;PPIF;TIMELESS;ADAM8;STEAP1;HIST1H2BC;CEMIP;HMMR;CCNB1;EIF4EBP1;CLSPN;TFAP2A;HSPA5;UBE2C;SLC52A2;TFPI2;HMGA1;SYNJ2;NDC80;GGCT;DAP;UBE2S;CPD;LCN2;CDK1;KDM5B;ST6GALNAC1;ITGB4;FHL2;SLC2A1;SIX1;FOXM1;CKS1B;MDK;EXO1;MB;MYBL2;CA9;HIST1H1C;ABCC3;GPX2;MMP7;RFC4;MMP1;ITGA2;MYEOV;H2AFX;PLA2G4A;MMP9;ETV4;CKAP4;CCNA2;GREM1;VCAN;PKM;AIM2;TRAF4;ESPL1;BIRC5;GAPDH;DTL;LTF;HIST1H2BK;AURKB;AURKA;HSPD1;E2F3;MEST;GALNT6;MARCKSL1;SMOX;STYK1;LIMK1;MUC5B;CYP24A1;RAD51;PRC1;IL2RA;P4HB;NECTIN4;MNX1-AS1
Secondary malignant neoplasm of lymph node	129/1271	9.3223731322842e-19	5.91970693900046e-16	129	0.101494885916601	FOXA1;SERPINE2;TNC;BUB1B;CXCL13;MKI67;CXCL14;LOXL2;LAPTM4B;PTTG1;PLAU;CDH1;TUBB3;CHEK1;PCLAF;NEK2;KPNA2;EPHB2;TNS4;S100A2;IGFBP3;IGHV1-12;RUNX2;CLDN4;SFRP2;CCNE1;FSCN1;PRR11;HOXB7;TGFA;THY1;HIF1A;CCNB1;LDHA;RACGAP1;UBD;EIF4EBP1;SFN;ST14;HSPA5;SRD5A1;UBE2C;TFPI2;HMGA1;TPX2;GJB2;DAP;SLC6A8;LCN2;CDK1;PLXNB3;CD27;CD24;EZH2;LAD1;GPI;ITGB4;SLC2A1;HMGB3;SIX1;FOXM1;UCHL1;MDK;CTSK;CA9;TIMP1;CEP55;MMP7;PARP1;MMP1;ITGA2;MYEOV;LSR;MMP9;ETV4;CKAP4;NME1;MMP12;MMP11;MMP14;CEACAM1;MMP13;SAPCD2;CEACAM5;B3GNT3;BIRC5;KIF2C;TFF1;ANGPTL4;GAPDH;LTF;PCNA;UHRF1;COL11A1;PVT1;TMPRSS4;TYMS;AURKB;AURKA;HSPD1;RECQL4;ADAM28;PAK1;NT5E;EPCAM;AGR2;SPP1;CCL19;MUC4;BUB1;CTHRC1;GALNT7;NQO1;RRM2;SPAG5;CDKN2A;STYK1;LIMK1;SULF1;AGT;CENPF;CYP24A1;RAD51;PSAT1;ZNF217;HDGF;OCIAD2;LGR4;MAD2L1
Pancreatic carcinoma	165/1869	7.14803477468521e-18	4.0851018737326e-15	165	0.0882825040128411	FOXA1;CDA;GALNT14;SERPINE2;GMNN;TNC;BUB1B;PLOD2;ENO1;CXCL14;CDC20;LAPTM4B;IGHG1;CDH3;DEPTOR;PLAU;CDH1;CHEK1;PCLAF;RCC1;NEK2;FAM3C;EPHB2;TNS4;SLC16A3;SOX4;IER3;SPINK1;S100A2;IGFBP3;KRT8;CDC25C;ILF2;RUNX2;CLDN4;IL23A;EEF1A2;FSCN1;PPIF;ADAM8;KIF20A;HOXB7;CEMIP;PRKDC;MAGED1;GPR87;TGFA;HMMR;FUT2;HIF1A;FUT3;UGT8;CYP27B1;NLN;LDHA;IRAK1;EIF4EBP1;CHST15;PMAIP1;NPTX2;KCNN4;TFAP2A;STIL;HSPA5;SLC52A2;TFPI2;GFPT1;PLK1;HMGA1;ASNS;CP;MANF;FERMT1;TPX2;GCLC;GJB2;AKR1B10;NMU;LCN2;CDK1;PAEP;CD24;EZH2;APOBEC3B;TOP2A;GPI;MCM7;FHL2;KIF14;HNF4G;SLC2A1;SIX1;FOXM1;KIF15;LMNB1;UCHL1;MDK;MUC13;CA9;TIMP1;TK1;ABCC3;MMP7;PARP1;MMP1;MMP9;ETV4;SERPINB5;CKAP4;NME1;MMP12;CCNA2;MMP11;MMP14;CEACAM1;MMP13;PKM;CDCP1;B3GNT6;CEACAM5;MZB1;BIRC5;COL6A3;DSG2;TFF1;GAPDH;PCNA;UHRF1;COL11A1;TTK;TYMS;AURKB;AURKA;HSPD1;PAK1;P2RY6;NT5E;CST1;ALDH1B1;EPCAM;AGR2;SPP1;SPOCK1;GCNT3;RAD54L;MUC4;BUB1;CTHRC1;NQO1;EGLN3;MARCKSL1;RRM2;CCL20;CDKN2A;MUC5B;SULF1;AGT;VMP1;CYP24A1;RAD51;KRT17;IL2RA;F2RL1;NECTIN4;CDKN3
