Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	32/128	1.04130945335249e-15	3.26867037407346e-12	32	0.25	BUB1B;CDCA8;TTK;KIF11;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB1;NUF2;NUSAP1;RCC1;KNTC1;BUB1;DLGAP5;CENPU;STIL;PLK1;NDC80;ZWINT;CENPF;ESPL1;CENPH;KIF4A;TACC3;BIRC5;CENPM;KIF2C;SPC24;MAD2L1;SPC25
mitotic spindle organization (GO:0007052)	33/157	8.23015412416419e-14	1.29172268978757e-10	33	0.210191082802548	BUB1B;CDCA8;TTK;KIF11;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB1;NUF2;RCC1;KNTC1;BUB1;DLGAP5;CENPU;STIL;PLK1;KIF23;NDC80;ZWINT;TPX2;CENPF;CENPH;KIFC1;PRC1;KIF4A;BIRC5;CENPM;KIF2C;SPC24;MAD2L1;SPC25
extracellular matrix organization (GO:0030198)	44/300	4.1249892611556e-12	4.31611376358914e-09	44	0.146666666666667	COL17A1;COL15A1;ITGB4;COL11A1;TNC;PLOD2;ADAMTS12;LOXL1;LOXL2;COMP;CDH1;CTSK;SERPINH1;SPP1;COL10A1;TIMP1;PRSS2;FGB;POSTN;MMP7;MMP1;ITGA2;P3H4;MMP9;COL1A1;MMP12;GREM1;MMP11;MMP14;COL3A1;VCAN;COL1A2;MMP13;COL5A1;SMOC1;P4HA3;PXDN;ADAM12;COL5A2;ITGA11;MFAP2;COL6A3;ADAM8;P4HB
DNA replication (GO:0006260)	23/108	3.65551487655393e-10	2.8686652993757e-07	23	0.212962962962963	WDHD1;FEN1;RMI2;RNASEH2A;RFC4;MCM7;DONSON;MCM10;CDC6;FAM111B;RECQL4;ORC6;CDC45;ORC1;EXO1;CHEK1;PCLAF;TIMELESS;CDK1;MCM4;CLSPN;MCM6;MCM2
extracellular structure organization (GO:0043062)	33/216	6.93171928836388e-10	4.09703810445329e-07	33	0.152777777777778	COL17A1;COL15A1;ITGB4;COL11A1;TNC;ADAMTS12;LOXL1;COMP;CDH1;SPP1;COL10A1;FGB;POSTN;MMP7;MMP1;ITGA2;MMP9;COL1A1;MMP12;MMP11;MMP14;COL3A1;VCAN;COL1A2;MMP13;COL5A1;SMOC1;PXDN;ADAM12;COL5A2;ITGA11;MFAP2;COL6A3
external encapsulating structure organization (GO:0045229)	33/217	7.83122925349466e-10	4.09703810445329e-07	33	0.152073732718894	COL17A1;COL15A1;ITGB4;COL11A1;TNC;ADAMTS12;LOXL1;COMP;CDH1;SPP1;COL10A1;FGB;POSTN;MMP7;MMP1;ITGA2;MMP9;COL1A1;MMP12;MMP11;MMP14;COL3A1;VCAN;COL1A2;MMP13;COL5A1;SMOC1;PXDN;ADAM12;COL5A2;ITGA11;MFAP2;COL6A3
collagen fibril organization (GO:0030199)	20/89	1.88905441379721e-09	8.4710597212992e-07	20	0.224719101123595	COL17A1;COL15A1;ITGB4;COL11A1;PLOD2;P3H4;LOXL1;LOXL2;GREM1;COL1A1;COL3A1;COL1A2;COL5A1;P4HA3;PXDN;COL5A2;SERPINH1;COL10A1;COL6A3;P4HB
mitotic sister chromatid segregation (GO:0000070)	21/102	4.05655915016026e-09	1.59169239654413e-06	21	0.205882352941176	SPAG5;CDCA5;PLK1;NCAPG2;KIF14;CDCA8;NCAPG;KIF23;NCAPH;NDC80;ZWINT;CCNB1;KIF18B;ESPL1;KIFC1;PRC1;NUSAP1;CDK1;KIF2C;CEP55;DLGAP5
mitotic spindle assembly checkpoint signaling (GO:0007094)	10/21	7.11766222313767e-09	2.03112197440265e-06	10	0.476190476190476	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT;MAD2L1
mitotic spindle checkpoint signaling (GO:0071174)	10/21	7.11766222313767e-09	2.03112197440265e-06	10	0.476190476190476	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT;MAD2L1
spindle assembly checkpoint signaling (GO:0071173)	10/21	7.11766222313767e-09	2.03112197440265e-06	10	0.476190476190476	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT;MAD2L1
